FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SAF116,"Consumer Price Index for All Urban Consumers: Alcoholic Beverages in Seattle-Tacoma-Bellevue WA (CBSA), Index 1982-1984=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SAF116
1975-11-01,64.8
1975-12-01,#N/A
1976-01-01,#N/A
1976-02-01,65
1976-03-01,#N/A
1976-04-01,#N/A
1976-05-01,65
1976-06-01,#N/A
1976-07-01,#N/A
1976-08-01,65.3
1976-09-01,#N/A
1976-10-01,#N/A
1976-11-01,64.4
1976-12-01,#N/A
1977-01-01,#N/A
1977-02-01,65.9
1977-03-01,#N/A
1977-04-01,#N/A
1977-05-01,66.5
1977-06-01,#N/A
1977-07-01,#N/A
1977-08-01,67.9
1977-09-01,#N/A
1977-10-01,#N/A
1977-11-01,68.9
1977-12-01,#N/A
1978-01-01,69.2
1978-02-01,#N/A
1978-03-01,70.5
1978-04-01,#N/A
1978-05-01,71
1978-06-01,#N/A
1978-07-01,72
1978-08-01,#N/A
1978-09-01,73.7
1978-10-01,#N/A
1978-11-01,73.9
1978-12-01,#N/A
1979-01-01,74
1979-02-01,#N/A
1979-03-01,75.3
1979-04-01,#N/A
1979-05-01,76.1
1979-06-01,#N/A
1979-07-01,77.9
1979-08-01,#N/A
1979-09-01,79.5
1979-10-01,#N/A
1979-11-01,79.4
1979-12-01,#N/A
1980-01-01,80.9
1980-02-01,#N/A
1980-03-01,81.7
1980-04-01,#N/A
1980-05-01,84.6
1980-06-01,#N/A
1980-07-01,86.1
1980-08-01,#N/A
1980-09-01,86.6
1980-10-01,#N/A
1980-11-01,87.6
1980-12-01,#N/A
1981-01-01,89.9
1981-02-01,#N/A
1981-03-01,90.9
1981-04-01,#N/A
1981-05-01,91.2
1981-06-01,#N/A
1981-07-01,93.3
1981-08-01,#N/A
1981-09-01,92
1981-10-01,#N/A
1981-11-01,91
1981-12-01,#N/A
1982-01-01,91.3
1982-02-01,#N/A
1982-03-01,94
1982-04-01,#N/A
1982-05-01,95.4
1982-06-01,#N/A
1982-07-01,94.9
1982-08-01,#N/A
1982-09-01,98.1
1982-10-01,#N/A
1982-11-01,98.8
1982-12-01,#N/A
1983-01-01,98.2
1983-02-01,#N/A
1983-03-01,100.4
1983-04-01,#N/A
1983-05-01,101.1
1983-06-01,#N/A
1983-07-01,102.4
1983-08-01,#N/A
1983-09-01,103.1
1983-10-01,#N/A
1983-11-01,103.8
1983-12-01,#N/A
1984-01-01,103
1984-02-01,#N/A
1984-03-01,103
1984-04-01,#N/A
1984-05-01,103
1984-06-01,#N/A
1984-07-01,102.1
1984-08-01,#N/A
1984-09-01,103.6
1984-10-01,#N/A
1984-11-01,100.7
1984-12-01,#N/A
1985-01-01,103.9
1985-02-01,#N/A
1985-03-01,102.4
1985-04-01,#N/A
1985-05-01,105.3
1985-06-01,#N/A
1985-07-01,104.6
1985-08-01,#N/A
1985-09-01,103.9
1985-10-01,#N/A
1985-11-01,106.1
1985-12-01,#N/A
1986-01-01,108.7
1986-02-01,#N/A
1986-03-01,109
1986-04-01,#N/A
1986-05-01,108.6
1986-06-01,#N/A
1986-07-01,106.9
1986-08-01,#N/A
1986-09-01,107.8
1986-10-01,#N/A
1986-11-01,108.6
1986-12-01,108.2
1987-01-01,#N/A
1987-02-01,#N/A
1987-03-01,#N/A
1987-04-01,#N/A
1987-05-01,#N/A
1987-06-01,#N/A
1987-07-01,#N/A
1987-08-01,#N/A
