FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SAGS,"Consumer Price Index for All Urban Consumers: Other Personal Services in Seattle-Tacoma-Bellevue WA (CBSA), Index Dec 2009=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SAGS
2009-12-01,100
2010-01-01,#N/A
2010-02-01,101.498
2010-03-01,#N/A
2010-04-01,101.327
2010-05-01,#N/A
2010-06-01,103.299
2010-07-01,#N/A
2010-08-01,104.492
2010-09-01,#N/A
2010-10-01,101.402
2010-11-01,#N/A
2010-12-01,101.032
2011-01-01,#N/A
2011-02-01,101.762
2011-03-01,#N/A
2011-04-01,101.223
2011-05-01,#N/A
2011-06-01,101.223
2011-07-01,#N/A
2011-08-01,106.016
2011-09-01,#N/A
2011-10-01,104.551
2011-11-01,#N/A
2011-12-01,106.136
2012-01-01,#N/A
2012-02-01,106.589
2012-03-01,#N/A
2012-04-01,106.512
2012-05-01,#N/A
2012-06-01,106.512
2012-07-01,#N/A
2012-08-01,107.896
2012-09-01,#N/A
2012-10-01,107.953
2012-11-01,#N/A
2012-12-01,108.789
2013-01-01,#N/A
2013-02-01,107.893
2013-03-01,#N/A
2013-04-01,108.992
2013-05-01,#N/A
2013-06-01,115.147
2013-07-01,#N/A
2013-08-01,115.081
2013-09-01,#N/A
2013-10-01,113.808
2013-11-01,#N/A
2013-12-01,113.306
2014-01-01,#N/A
2014-02-01,111.758
2014-03-01,#N/A
2014-04-01,112.875
2014-05-01,#N/A
2014-06-01,113.03
2014-07-01,#N/A
2014-08-01,112.894
2014-09-01,#N/A
2014-10-01,113.104
2014-11-01,#N/A
2014-12-01,110.358
2015-01-01,#N/A
2015-02-01,110.401
2015-03-01,#N/A
2015-04-01,111.557
2015-05-01,#N/A
2015-06-01,112.186
2015-07-01,#N/A
2015-08-01,111.76
2015-09-01,#N/A
2015-10-01,112.662
2015-11-01,#N/A
2015-12-01,111.568
2016-01-01,#N/A
2016-02-01,111.602
2016-03-01,#N/A
2016-04-01,111.686
2016-05-01,#N/A
2016-06-01,114.783
2016-07-01,#N/A
2016-08-01,114.789
2016-09-01,#N/A
2016-10-01,114.789
2016-11-01,#N/A
2016-12-01,116.817
2017-01-01,#N/A
2017-02-01,116.873
2017-03-01,#N/A
2017-04-01,117.073
2017-05-01,#N/A
2017-06-01,117.803
2017-07-01,#N/A
2017-08-01,118.413
2017-09-01,#N/A
2017-10-01,118.456
2017-11-01,#N/A
2017-12-01,118.456
2018-01-01,#N/A
2018-02-01,118.456
2018-03-01,#N/A
2018-04-01,118.456
2018-05-01,#N/A
2018-06-01,119.464
2018-07-01,#N/A
2018-08-01,119.464
2018-09-01,#N/A
2018-10-01,119.892
2018-11-01,#N/A
2018-12-01,122.349
2019-01-01,#N/A
2019-02-01,122.65
2019-03-01,#N/A
2019-04-01,122.65
2019-05-01,#N/A
2019-06-01,123.468
2019-07-01,#N/A
2019-08-01,124.3
2019-09-01,#N/A
2019-10-01,124.625
2019-11-01,#N/A
2019-12-01,125.081
2020-01-01,#N/A
2020-02-01,126.102
2020-03-01,#N/A
2020-04-01,#N/A
2020-05-01,#N/A
2020-06-01,125.23
2020-07-01,#N/A
2020-08-01,#N/A
2020-09-01,#N/A
2020-10-01,123.241
2020-11-01,#N/A
2020-12-01,124.223
2021-01-01,#N/A
2021-02-01,129.969
2021-03-01,#N/A
2021-04-01,#N/A
2021-05-01,#N/A
2021-06-01,129.987
2021-07-01,#N/A
2021-08-01,#N/A
2021-09-01,#N/A
2021-10-01,130.53
2021-11-01,#N/A
2021-12-01,130.409
2022-01-01,#N/A
2022-02-01,137.787
2022-03-01,#N/A
2022-04-01,141.441
