FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SAA,"Consumer Price Index for All Urban Consumers: Apparel in Seattle-Tacoma-Bellevue WA (CBSA), Index 1982-1984=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SAA
1952-11-01,43.9
1952-12-01,#N/A
1953-01-01,#N/A
1953-02-01,43.9
1953-03-01,#N/A
1953-04-01,#N/A
1953-05-01,43.8
1953-06-01,#N/A
1953-07-01,#N/A
1953-08-01,44.1
1953-09-01,#N/A
1953-10-01,#N/A
1953-11-01,44
1953-12-01,#N/A
1954-01-01,#N/A
1954-02-01,43.5
1954-03-01,#N/A
1954-04-01,#N/A
1954-05-01,43.7
1954-06-01,#N/A
1954-07-01,#N/A
1954-08-01,43.6
1954-09-01,#N/A
1954-10-01,#N/A
1954-11-01,43.5
1954-12-01,#N/A
1955-01-01,#N/A
1955-02-01,43.7
1955-03-01,#N/A
1955-04-01,#N/A
1955-05-01,43.4
1955-06-01,#N/A
1955-07-01,#N/A
1955-08-01,43.9
1955-09-01,#N/A
1955-10-01,#N/A
1955-11-01,44.1
1955-12-01,#N/A
1956-01-01,#N/A
1956-02-01,43.8
1956-03-01,#N/A
1956-04-01,#N/A
1956-05-01,44
1956-06-01,#N/A
1956-07-01,#N/A
1956-08-01,44.1
1956-09-01,#N/A
1956-10-01,#N/A
1956-11-01,45
1956-12-01,#N/A
1957-01-01,#N/A
1957-02-01,44.8
1957-03-01,#N/A
1957-04-01,#N/A
1957-05-01,45
1957-06-01,#N/A
1957-07-01,#N/A
1957-08-01,45.3
1957-09-01,#N/A
1957-10-01,#N/A
1957-11-01,45.2
1957-12-01,#N/A
1958-01-01,#N/A
1958-02-01,45.1
1958-03-01,#N/A
1958-04-01,#N/A
1958-05-01,45.1
1958-06-01,#N/A
1958-07-01,#N/A
1958-08-01,44.8
1958-09-01,#N/A
1958-10-01,#N/A
1958-11-01,44.7
1958-12-01,#N/A
1959-01-01,#N/A
1959-02-01,44.7
1959-03-01,#N/A
1959-04-01,#N/A
1959-05-01,45.1
1959-06-01,#N/A
1959-07-01,#N/A
1959-08-01,45.5
1959-09-01,#N/A
1959-10-01,#N/A
1959-11-01,46.1
1959-12-01,#N/A
1960-01-01,#N/A
1960-02-01,46
1960-03-01,#N/A
1960-04-01,#N/A
1960-05-01,45.4
1960-06-01,#N/A
1960-07-01,#N/A
1960-08-01,45.8
1960-09-01,#N/A
1960-10-01,#N/A
1960-11-01,46.6
1960-12-01,#N/A
1961-01-01,#N/A
1961-02-01,46.5
1961-03-01,#N/A
1961-04-01,#N/A
1961-05-01,46.7
1961-06-01,#N/A
1961-07-01,#N/A
1961-08-01,46.2
1961-09-01,#N/A
1961-10-01,#N/A
1961-11-01,47.4
1961-12-01,#N/A
1962-01-01,#N/A
1962-02-01,47.2
1962-03-01,#N/A
1962-04-01,#N/A
1962-05-01,47.4
1962-06-01,#N/A
1962-07-01,#N/A
1962-08-01,47.5
1962-09-01,#N/A
1962-10-01,#N/A
1962-11-01,47.8
1962-12-01,#N/A
1963-01-01,#N/A
1963-02-01,48.2
1963-03-01,#N/A
1963-04-01,#N/A
1963-05-01,47.7
1963-06-01,#N/A
1963-07-01,#N/A
1963-08-01,48.1
1963-09-01,#N/A
1963-10-01,#N/A
1963-11-01,48.8
1963-12-01,#N/A
1964-01-01,#N/A
1964-02-01,48.9
1964-03-01,#N/A
1964-04-01,#N/A
1964-05-01,49.1
1964-06-01,#N/A
