FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SACL1,"Consumer Price Index for All Urban Consumers: Commodities Less Food in Seattle-Tacoma-Bellevue WA (CBSA), Index 1982-1984=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SACL1
1966-11-01,37.3
1966-12-01,#N/A
1967-01-01,#N/A
1967-02-01,37.4
1967-03-01,#N/A
1967-04-01,#N/A
1967-05-01,37.8
1967-06-01,#N/A
1967-07-01,#N/A
1967-08-01,38.1
1967-09-01,#N/A
1967-10-01,#N/A
1967-11-01,38.5
1967-12-01,#N/A
1968-01-01,#N/A
1968-02-01,38.6
1968-03-01,#N/A
1968-04-01,#N/A
1968-05-01,38.7
1968-06-01,#N/A
1968-07-01,#N/A
1968-08-01,39.2
1968-09-01,#N/A
1968-10-01,#N/A
1968-11-01,39.6
1968-12-01,#N/A
1969-01-01,#N/A
1969-02-01,40
1969-03-01,#N/A
1969-04-01,#N/A
1969-05-01,40.3
1969-06-01,#N/A
1969-07-01,#N/A
1969-08-01,40.6
1969-09-01,#N/A
1969-10-01,#N/A
1969-11-01,40.7
1969-12-01,#N/A
1970-01-01,#N/A
1970-02-01,41.2
1970-03-01,#N/A
1970-04-01,#N/A
1970-05-01,41.6
1970-06-01,#N/A
1970-07-01,#N/A
1970-08-01,41.7
1970-09-01,#N/A
1970-10-01,#N/A
1970-11-01,42
1970-12-01,#N/A
1971-01-01,#N/A
1971-02-01,41.9
1971-03-01,#N/A
1971-04-01,#N/A
1971-05-01,42.4
1971-06-01,#N/A
1971-07-01,#N/A
1971-08-01,43.3
1971-09-01,#N/A
1971-10-01,#N/A
1971-11-01,43.2
1971-12-01,#N/A
1972-01-01,#N/A
1972-02-01,43.5
1972-03-01,#N/A
1972-04-01,#N/A
1972-05-01,43.5
1972-06-01,#N/A
1972-07-01,#N/A
1972-08-01,43.7
1972-09-01,#N/A
1972-10-01,#N/A
1972-11-01,44.5
1972-12-01,#N/A
1973-01-01,#N/A
1973-02-01,44.7
1973-03-01,#N/A
1973-04-01,#N/A
1973-05-01,45.4
1973-06-01,#N/A
1973-07-01,#N/A
1973-08-01,45.5
1973-09-01,#N/A
1973-10-01,#N/A
1973-11-01,46.2
1973-12-01,#N/A
1974-01-01,#N/A
1974-02-01,47.8
1974-03-01,#N/A
1974-04-01,#N/A
1974-05-01,49.4
1974-06-01,#N/A
1974-07-01,#N/A
1974-08-01,50.7
1974-09-01,#N/A
1974-10-01,#N/A
1974-11-01,52.4
1974-12-01,#N/A
1975-01-01,#N/A
1975-02-01,53.5
1975-03-01,#N/A
1975-04-01,#N/A
1975-05-01,54.7
1975-06-01,#N/A
1975-07-01,#N/A
1975-08-01,55.4
1975-09-01,#N/A
1975-10-01,#N/A
1975-11-01,56.1
1975-12-01,#N/A
1976-01-01,#N/A
1976-02-01,56.6
1976-03-01,#N/A
1976-04-01,#N/A
1976-05-01,57.6
1976-06-01,#N/A
1976-07-01,#N/A
1976-08-01,58.6
1976-09-01,#N/A
1976-10-01,#N/A
1976-11-01,59.6
1976-12-01,#N/A
1977-01-01,#N/A
1977-02-01,60.4
1977-03-01,#N/A
1977-04-01,#N/A
1977-05-01,61.8
1977-06-01,#N/A
1977-07-01,#N/A
1977-08-01,62.6
1977-09-01,#N/A
1977-10-01,#N/A
1977-11-01,63.4
1977-12-01,#N/A
1978-01-01,63.9
1978-02-01,#N/A
1978-03-01,64.7
1978-04-01,#N/A
1978-05-01,66.9
