FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SAF,"Consumer Price Index for All Urban Consumers: Food and Beverages in Seattle-Tacoma-Bellevue WA (CBSA), Index 1982-1984=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SAF
1975-11-01,60.8
1975-12-01,#N/A
1976-01-01,#N/A
1976-02-01,60.6
1976-03-01,#N/A
1976-04-01,#N/A
1976-05-01,60.8
1976-06-01,#N/A
1976-07-01,#N/A
1976-08-01,61.8
1976-09-01,#N/A
1976-10-01,#N/A
1976-11-01,61.8
1976-12-01,#N/A
1977-01-01,#N/A
1977-02-01,63.5
1977-03-01,#N/A
1977-04-01,#N/A
1977-05-01,65.2
1977-06-01,#N/A
1977-07-01,#N/A
1977-08-01,66.8
1977-09-01,#N/A
1977-10-01,#N/A
1977-11-01,66.8
1977-12-01,#N/A
1978-01-01,67.1
1978-02-01,#N/A
1978-03-01,69.2
1978-04-01,#N/A
1978-05-01,72.5
1978-06-01,#N/A
1978-07-01,70.9
1978-08-01,#N/A
1978-09-01,71.9
1978-10-01,#N/A
1978-11-01,72.5
1978-12-01,#N/A
1979-01-01,74.1
1979-02-01,#N/A
1979-03-01,77.5
1979-04-01,#N/A
1979-05-01,78.8
1979-06-01,#N/A
1979-07-01,78.8
1979-08-01,#N/A
1979-09-01,78.5
1979-10-01,#N/A
1979-11-01,80.1
1979-12-01,#N/A
1980-01-01,81.4
1980-02-01,#N/A
1980-03-01,82.5
1980-04-01,#N/A
1980-05-01,83.6
1980-06-01,#N/A
1980-07-01,84.4
1980-08-01,#N/A
1980-09-01,86.4
1980-10-01,#N/A
1980-11-01,87.2
1980-12-01,#N/A
1981-01-01,88.7
1981-02-01,#N/A
1981-03-01,90.4
1981-04-01,#N/A
1981-05-01,90.7
1981-06-01,#N/A
1981-07-01,92
1981-08-01,#N/A
1981-09-01,93.1
1981-10-01,#N/A
1981-11-01,93.1
1981-12-01,#N/A
1982-01-01,95.1
1982-02-01,#N/A
1982-03-01,94.6
1982-04-01,#N/A
1982-05-01,99.6
1982-06-01,#N/A
1982-07-01,100
1982-08-01,#N/A
1982-09-01,99.8
1982-10-01,#N/A
1982-11-01,99.5
1982-12-01,#N/A
1983-01-01,100
1983-02-01,#N/A
1983-03-01,101.5
1983-04-01,#N/A
1983-05-01,102.4
1983-06-01,#N/A
1983-07-01,98.9
1983-08-01,#N/A
1983-09-01,98.7
1983-10-01,#N/A
1983-11-01,99
1983-12-01,#N/A
1984-01-01,100.8
1984-02-01,#N/A
1984-03-01,101.3
1984-04-01,#N/A
1984-05-01,101.4
1984-06-01,#N/A
1984-07-01,101.7
1984-08-01,#N/A
1984-09-01,102.1
1984-10-01,#N/A
1984-11-01,102.1
1984-12-01,#N/A
1985-01-01,101.7
1985-02-01,#N/A
1985-03-01,103.3
1985-04-01,#N/A
1985-05-01,103.3
1985-06-01,#N/A
1985-07-01,103.6
1985-08-01,#N/A
1985-09-01,103.5
1985-10-01,#N/A
1985-11-01,103.3
1985-12-01,#N/A
1986-01-01,104.9
1986-02-01,#N/A
1986-03-01,105.9
1986-04-01,#N/A
1986-05-01,107.1
1986-06-01,#N/A
1986-07-01,106.7
1986-08-01,#N/A
1986-09-01,107.5
1986-10-01,#N/A
1986-11-01,107.9
1986-12-01,108.1
1987-01-01,#N/A
1987-02-01,#N/A
1987-03-01,#N/A
1987-04-01,#N/A
1987-05-01,#N/A
1987-06-01,#N/A
1987-07-01,#N/A
