FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SAH21,"Consumer Price Index for All Urban Consumers: Household Energy in Seattle-Tacoma-Bellevue WA (CBSA), Index 1982-1984=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SAH21
1976-01-01,35.5
1976-02-01,35.4
1976-03-01,35.1
1976-04-01,35
1976-05-01,35
1976-06-01,35.3
1976-07-01,35.4
1976-08-01,35.5
1976-09-01,35.6
1976-10-01,36.4
1976-11-01,36.5
1976-12-01,36.7
1977-01-01,37.4
1977-02-01,37.8
1977-03-01,38.1
1977-04-01,38.2
1977-05-01,38.5
1977-06-01,42.3
1977-07-01,42.4
1977-08-01,41.6
1977-09-01,41.7
1977-10-01,42.2
1977-11-01,42.6
1977-12-01,41.7
1978-01-01,41.7
1978-02-01,41.7
1978-03-01,41.7
1978-04-01,41.8
1978-05-01,41.8
1978-06-01,42.6
1978-07-01,42.7
1978-08-01,42.7
1978-09-01,42.6
1978-10-01,43.2
1978-11-01,43.4
1978-12-01,44.1
1979-01-01,44.5
1979-02-01,45.8
1979-03-01,46.6
1979-04-01,48.3
1979-05-01,49.7
1979-06-01,51.4
1979-07-01,52.7
1979-08-01,54.8
1979-09-01,57.3
1979-10-01,59.5
1979-11-01,59.5
1979-12-01,60.8
1980-01-01,66.6
1980-02-01,68.3
1980-03-01,69.2
1980-04-01,73.1
1980-05-01,72.3
1980-06-01,72.6
1980-07-01,71.1
1980-08-01,72.1
1980-09-01,72.3
1980-10-01,71.7
1980-11-01,73.9
1980-12-01,73.8
1981-01-01,80.2
1981-02-01,82.6
1981-03-01,84
1981-04-01,82.6
1981-05-01,83.2
1981-06-01,83.3
1981-07-01,83.6
1981-08-01,85.9
1981-09-01,86.1
1981-10-01,88.5
1981-11-01,89
1981-12-01,90.7
1982-01-01,90.8
1982-02-01,90.9
1982-03-01,90.5
1982-04-01,89
1982-05-01,90.1
1982-06-01,89.5
1982-07-01,89.1
1982-08-01,89.1
1982-09-01,89.1
1982-10-01,100.4
1982-11-01,101.2
1982-12-01,104.1
1983-01-01,103.8
1983-02-01,102.3
1983-03-01,100.6
1983-04-01,96.4
1983-05-01,95.2
1983-06-01,96.3
1983-07-01,93.9
1983-08-01,98.1
1983-09-01,98.4
1983-10-01,100.8
1983-11-01,105.6
1983-12-01,108.6
1984-01-01,108.2
1984-02-01,108.4
1984-03-01,108.7
1984-04-01,103.1
1984-05-01,104.8
1984-06-01,106.8
1984-07-01,106.2
1984-08-01,105.5
1984-09-01,105.2
1984-10-01,108.6
1984-11-01,108.5
1984-12-01,112.4
1985-01-01,112.5
1985-02-01,111.8
1985-03-01,111.7
1985-04-01,107.3
1985-05-01,107.5
1985-06-01,105.1
1985-07-01,104.4
1985-08-01,103.8
1985-09-01,103.2
1985-10-01,108.5
1985-11-01,109.6
1985-12-01,113.1
1986-01-01,113.7
1986-02-01,109.5
1986-03-01,102.6
1986-04-01,91.7
1986-05-01,92.7
1986-06-01,93.8
1986-07-01,90.9
1986-08-01,88.5
1986-09-01,90.1
1986-10-01,92.1
1986-11-01,90.9
1986-12-01,98.4
1987-01-01,#N/A
1987-02-01,#N/A
1987-03-01,#N/A
1987-04-01,#N/A
1987-05-01,#N/A
1987-06-01,#N/A
1987-07-01,#N/A
1987-08-01,#N/A
1987-09-01,#N/A
1987-10-01,#N/A
1987-11-01,#N/A
1987-12-01,#N/A
1988-01-01,#N/A
1988-02-01,#N/A
1988-03-01,#N/A
