Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.000000,4.812500,3.531250,4.593750,2.456210,12924800
1985-02-01,0.000000,4.781250,4.312500,4.687500,2.506338,12304800
1985-03-01,0.000000,5.093750,4.609375,4.734375,2.531400,10084000
1985-04-01,0.000000,5.203125,4.531250,5.093750,2.723555,7300000
1985-05-01,0.000000,6.218750,5.062500,6.093750,3.258240,12382400
1985-06-01,0.000000,6.562500,5.781250,6.312500,3.375201,10797600
1985-07-01,0.000000,6.531250,5.875000,5.906250,3.157985,12128000
1985-08-01,0.000000,6.062500,5.562500,5.781250,3.091148,9401600
1985-09-01,0.000000,5.812500,5.000000,5.187500,2.773680,8902400
1985-10-01,0.000000,6.156250,5.156250,5.984375,3.199759,12200000
1985-11-01,0.000000,6.593750,5.968750,6.406250,3.425328,8700800
1985-12-01,0.000000,6.468750,5.937500,5.968750,3.191405,18319200
1986-01-01,0.000000,6.687500,5.937500,6.625000,3.542289,14121600
1986-02-01,0.000000,7.093750,6.281250,6.937500,3.709380,17492800
1986-03-01,0.000000,7.656250,6.906250,7.625000,4.076975,10367200
1986-04-01,0.000000,8.312500,7.406250,7.562500,4.043558,8744800
1986-05-01,0.000000,10.125000,7.437500,9.875000,5.280019,14607200
1986-06-01,0.000000,10.062500,4.781250,5.156250,2.756973,29851200
1986-07-01,0.000000,5.750000,4.843750,5.000000,2.673428,32606400
1986-08-01,5.031250,6.406250,4.937500,6.250000,3.341783,43743200
1986-09-01,6.218750,6.281250,4.968750,5.000000,2.673428,40485600
1986-10-01,4.968750,5.812500,4.968750,5.656250,3.024315,23480800
1986-11-01,5.625000,5.843750,5.250000,5.828125,3.116214,18831200
1986-12-01,5.843750,6.031250,5.031250,5.218750,2.790390,29357600
1987-01-01,5.250000,5.968750,5.250000,5.750000,3.074441,22572000
1987-02-01,5.750000,6.937500,5.687500,6.625000,3.542289,23924800
1987-03-01,6.625000,7.468750,6.625000,6.843750,3.659251,25208800
1987-04-01,6.781250,7.343750,6.375000,6.937500,3.709380,24935200
1987-05-01,6.875000,8.125000,6.812500,8.125000,4.344320,23318400
1987-06-01,8.125000,9.218750,7.812500,8.750000,4.678497,34308000
1987-07-01,8.812500,9.500000,8.562500,9.375000,5.012675,29208000
1987-08-01,9.375000,10.187500,8.562500,9.000000,4.812169,46602000
1987-09-01,9.000000,9.062500,6.593750,6.906250,3.697636,57456400
1987-10-01,6.937500,7.500000,3.937500,5.500000,2.944726,71019200
1987-11-01,5.500000,5.687500,4.312500,4.562500,2.442783,26734400
1987-12-01,4.562500,5.875000,4.250000,4.937500,2.643559,36244400
1988-01-01,4.937500,6.125000,4.937500,5.375000,2.877799,30502400
1988-02-01,5.375000,6.375000,5.312500,6.187500,3.312814,25575200
1988-03-01,6.125000,6.437500,5.875000,6.125000,3.286344,28032800
1988-04-01,6.125000,6.625000,5.812500,6.250000,3.353411,21854800
1988-05-01,6.312500,6.437500,5.500000,5.875000,3.152208,18418000
1988-06-01,5.937500,7.500000,5.937500,7.312500,3.923492,26996000
1988-07-01,7.250000,7.750000,6.625000,7.125000,3.822890,23632800
1988-08-01,7.062500,7.625000,6.500000,7.218750,3.873190,23360000
1988-09-01,7.250000,8.000000,6.937500,7.687500,4.132274,20584800
1988-10-01,7.687500,8.500000,7.375000,7.562500,4.065081,23744400
1988-11-01,7.562500,7.687500,6.625000,7.531250,4.048284,29966800
1988-12-01,7.500000,7.812500,7.312500,7.562500,4.073081,20754400
1989-01-01,7.500000,8.125000,7.437500,8.125000,4.376038,15785200
1989-02-01,8.062500,8.562500,7.750000,7.875000,4.241391,13536400
1989-03-01,7.875000,8.437500,7.625000,8.312500,4.486687,15906800
1989-04-01,8.312500,8.750000,8.187500,8.437500,4.554155,11069600
1989-05-01,8.312500,8.625000,8.062500,8.625000,4.655362,13724800
1989-06-01,8.562500,8.812500,7.812500,7.812500,4.216812,26924400
1989-07-01,7.875000,9.062500,7.812500,8.937500,4.824033,18923600
1989-08-01,8.937500,10.625000,8.937500,10.437500,5.633660,25344000
1989-09-01,10.375000,10.500000,9.437500,9.875000,5.330049,13822000
1989-10-01,9.812500,10.562500,9.156250,9.187500,4.958969,21642800
1989-11-01,9.250000,9.562500,8.625000,9.312500,5.026436,26323600
1989-12-01,9.375000,9.562500,8.312500,9.312500,5.036163,23384000
1990-01-01,9.312500,9.812500,8.062500,8.375000,4.529166,18201600
1990-02-01,8.375000,8.812500,6.687500,6.937500,3.751772,55179600
1990-03-01,6.812500,8.125000,6.625000,7.875000,4.269717,40176000
1990-04-01,7.750000,8.312500,6.812500,7.125000,3.863078,34131600
1990-05-01,7.187500,8.500000,6.468750,8.437500,4.574696,55197200
1990-06-01,8.437500,9.250000,8.437500,8.562500,4.645249,42990000
1990-07-01,8.500000,9.562500,7.250000,7.250000,3.933206,42797200
1990-08-01,7.250000,7.625000,5.562500,5.750000,3.119440,64497200
1990-09-01,5.750000,6.062500,4.875000,5.125000,2.789366,45091200
1990-10-01,5.125000,5.875000,4.437500,4.500000,2.449200,43634000
1990-11-01,4.500000,6.250000,4.312500,5.875000,3.197567,47818400
1990-12-01,5.875000,6.187500,5.312500,5.562500,3.029934,36067600
1991-01-01,5.562500,7.187500,5.500000,6.875000,3.744861,37988000
1991-02-01,6.937500,8.687500,6.562500,8.625000,4.698101,45508800
1991-03-01,8.562500,9.125000,8.000000,8.875000,4.837029,25894000
1991-04-01,8.812500,10.375000,8.562500,9.500000,5.177667,39821600
1991-05-01,9.500000,11.562500,9.343750,11.562500,6.301765,47592800
1991-06-01,11.500000,11.812500,9.437500,9.875000,5.384369,34421600
1991-07-01,9.937500,11.500000,9.875000,11.437500,6.236329,22919600
1991-08-01,11.375000,13.250000,11.187500,11.937500,6.508959,33830000
1991-09-01,12.062500,12.312500,11.000000,11.250000,6.144180,27528800
1991-10-01,11.312500,11.375000,7.812500,8.937500,4.881208,66966000
1991-11-01,8.875000,10.000000,8.375000,8.687500,4.744669,44762800
1991-12-01,8.750000,9.156250,7.875000,9.000000,4.926479,38090800
1992-01-01,8.937500,10.250000,8.687500,9.250000,5.063329,47898400
1992-02-01,9.312500,10.687500,9.187500,9.875000,5.405446,32195600
1992-03-01,9.875000,10.250000,8.906250,9.250000,5.073477,29124800
1992-04-01,9.062500,9.437500,7.500000,8.562500,4.696395,45703200
1992-05-01,8.562500,8.812500,7.750000,7.968750,4.370730,27713200
1992-06-01,7.968750,8.062500,6.625000,7.062500,3.883530,36926000
1992-07-01,7.031250,7.437500,6.375000,7.187500,3.952268,51058400
1992-08-01,7.312500,7.437500,6.625000,6.687500,3.677324,26322800
1992-09-01,6.750000,7.687500,6.687500,7.125000,3.929075,30636400
1992-10-01,7.187500,8.750000,7.000000,8.406250,4.635615,46267200
1992-11-01,8.375000,9.750000,7.656250,9.437500,5.204302,47882800
1992-12-01,9.375000,10.062500,8.625000,9.687500,5.346441,35980800
1993-01-01,9.812500,10.125000,9.375000,9.812500,5.415424,44910800
1993-02-01,9.750000,10.875000,8.000000,8.250000,4.553098,77368000
1993-03-01,8.312500,8.625000,7.750000,8.187500,4.528538,49338400
1993-04-01,8.062500,8.250000,6.937500,7.000000,3.871727,49592000
1993-05-01,7.062500,8.062500,6.812500,7.500000,4.148279,61847200
1993-06-01,7.500000,7.562500,6.312500,7.000000,3.882637,39707600
1993-07-01,7.000000,7.062500,6.375000,6.875000,3.813306,19305200
1993-08-01,6.750000,8.250000,6.562500,7.937500,4.402632,39100800
1993-09-01,7.937500,8.062500,7.062500,7.687500,4.275148,27088800
1993-10-01,7.687500,8.937500,7.500000,8.687500,4.831264,26950000
1993-11-01,8.687500,9.125000,8.187500,8.812500,4.900780,40517200
1993-12-01,8.750000,8.937500,7.750000,8.250000,4.599379,37161200
1994-01-01,8.250000,9.000000,7.750000,8.750000,4.878128,53110400
1994-02-01,8.750000,10.187500,8.500000,9.750000,5.435630,44114400
1994-03-01,9.750000,11.125000,9.500000,9.937500,5.543351,50108800
1994-04-01,9.625000,11.125000,9.312500,10.937500,6.101172,40482400
1994-05-01,10.875000,11.437500,10.312500,11.031250,6.153466,56357200
1994-06-01,10.937500,11.312500,10.125000,10.625000,5.940430,40845200
1994-07-01,10.625000,11.312500,9.687500,10.937500,6.115149,50934000
1994-08-01,10.937500,11.875000,10.375000,11.750000,6.569415,44075600
1994-09-01,11.687500,12.000000,9.250000,10.000000,5.603045,52595200
1994-10-01,10.000000,12.437500,9.750000,12.312500,6.898744,58892000
1994-11-01,12.312500,12.375000,10.937500,12.062500,6.758672,49039200
1994-12-01,11.937500,12.250000,10.000000,10.500000,5.896370,63544400
1995-01-01,10.500000,10.875000,9.875000,10.125000,5.685787,34452800
1995-02-01,10.250000,11.312500,10.062500,10.562500,5.931469,48979600
1995-03-01,10.437500,10.562500,9.062500,10.187500,5.737661,73194800
1995-04-01,10.187500,10.500000,9.250000,9.625000,5.420857,48306800
1995-05-01,9.625000,10.375000,8.750000,10.375000,5.843261,78032800
1995-06-01,10.312500,10.937500,9.937500,10.343750,5.844155,56140000
1995-07-01,10.343750,11.187500,9.968750,10.062500,5.685250,62777600
1995-08-01,10.000000,10.500000,9.625000,10.312500,5.826502,47926800
1995-09-01,10.312500,10.750000,9.687500,10.437500,5.915639,40936000
1995-10-01,10.437500,10.500000,9.156250,9.265625,5.251459,43709600
1995-11-01,9.250000,10.687500,9.250000,9.812500,5.561410,48883200
1995-12-01,9.812500,10.375000,9.562500,10.125000,5.756344,37034800
1996-01-01,10.062500,10.843750,9.500000,9.812500,5.578682,46386400
1996-02-01,9.718750,11.296875,9.687500,11.281250,6.413708,53359600
1996-03-01,11.250000,12.625000,11.250000,12.109375,6.904360,81841200
1996-04-01,12.093750,12.718750,10.656250,12.718750,7.251802,82007200
1996-05-01,12.625000,13.375000,12.218750,12.750000,7.269622,61642400
1996-06-01,12.687500,13.093750,10.687500,11.125000,6.358919,36778800
1996-07-01,11.125000,11.187500,9.406250,10.375000,5.930227,45745600
1996-08-01,10.281250,10.812500,9.093750,9.750000,5.572983,109914000
1996-09-01,9.718750,9.968750,9.375000,9.500000,5.447835,39362400
1996-10-01,9.406250,9.875000,8.843750,9.015625,5.170065,55673200
1996-11-01,9.031250,11.125000,9.031250,10.875000,6.236337,53197200
1996-12-01,10.906250,11.250000,8.562500,8.859375,5.095362,40249600
1997-01-01,8.875000,9.906250,8.843750,9.281250,5.337997,61364000
1997-02-01,9.343750,9.375000,8.468750,9.187500,5.284081,40200400
1997-03-01,9.187500,9.875000,9.093750,9.468750,5.464486,44170000
1997-04-01,9.468750,9.937500,8.968750,9.812500,5.662867,41552400
1997-05-01,9.843750,12.031250,9.812500,12.000000,6.925289,77487600
1997-06-01,11.937500,12.500000,11.687500,12.265625,7.097209,45355600
1997-07-01,12.250000,14.906250,11.968750,14.171875,8.200218,81746400
1997-08-01,14.125000,15.625000,13.218750,14.625000,8.462412,97073200
1997-09-01,14.750000,17.046875,14.687500,15.937500,9.243955,61030800
1997-10-01,15.937500,16.187500,13.093750,15.312500,8.881448,91277600
1997-11-01,15.437500,16.437500,14.218750,14.750000,8.555190,52060000
1997-12-01,14.781250,15.906250,13.625000,15.093750,8.775551,55168000
1998-01-01,14.968750,15.187500,10.714844,12.718750,7.394715,173952000
1998-02-01,12.875000,14.750000,12.562500,14.335938,8.334951,83874800
1998-03-01,14.531250,16.468750,14.343750,15.953125,9.297660,82030400
1998-04-01,15.906250,16.781250,14.500000,16.359375,9.534425,86410400
1998-05-01,16.359375,18.875000,15.937500,18.015625,10.499705,60207600
1998-06-01,18.000000,19.500000,16.906250,19.312500,11.277702,65088400
1998-07-01,19.500000,20.187500,15.062500,15.609375,9.115227,48313400
1998-08-01,15.625000,19.750000,14.062500,14.968750,8.741132,77706400
1998-09-01,15.187500,15.750000,11.000000,12.375000,7.243011,89686400
1998-10-01,12.000000,14.812500,11.562500,13.656250,7.992923,48234200
1998-11-01,13.875000,19.562500,13.531250,18.625000,10.901098,49839400
1998-12-01,18.562500,18.875000,15.781250,17.343750,10.173304,40350000
1999-01-01,17.468750,22.062500,16.500000,20.812500,12.207959,51559600
1999-02-01,20.937500,22.156250,19.093750,20.125000,11.804691,47870400
