FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SAR,"Consumer Price Index for All Urban Consumers: Recreation in Seattle-Tacoma-Bellevue WA (CBSA), Index Dec 1997=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SAR
1997-12-01,100
1998-01-01,#N/A
1998-02-01,99.7
1998-03-01,#N/A
1998-04-01,99.4
1998-05-01,#N/A
1998-06-01,98.7
1998-07-01,#N/A
1998-08-01,98.7
1998-09-01,#N/A
1998-10-01,98.8
1998-11-01,#N/A
1998-12-01,99
1999-01-01,#N/A
1999-02-01,99.9
1999-03-01,#N/A
1999-04-01,99.8
1999-05-01,#N/A
1999-06-01,100.5
1999-07-01,#N/A
1999-08-01,99.2
1999-09-01,#N/A
1999-10-01,100.8
1999-11-01,#N/A
1999-12-01,100.9
2000-01-01,#N/A
2000-02-01,100.8
2000-03-01,#N/A
2000-04-01,100.7
2000-05-01,#N/A
2000-06-01,101.3
2000-07-01,#N/A
2000-08-01,101.2
2000-09-01,#N/A
2000-10-01,101.6
2000-11-01,#N/A
2000-12-01,101.4
2001-01-01,#N/A
2001-02-01,100.9
2001-03-01,#N/A
2001-04-01,100.4
2001-05-01,#N/A
2001-06-01,99.8
2001-07-01,#N/A
2001-08-01,99.7
2001-09-01,#N/A
2001-10-01,100.8
2001-11-01,#N/A
2001-12-01,99.5
2002-01-01,#N/A
2002-02-01,99.5
2002-03-01,#N/A
2002-04-01,98.9
2002-05-01,#N/A
2002-06-01,99.3
2002-07-01,#N/A
2002-08-01,100.2
2002-09-01,#N/A
2002-10-01,100.7
2002-11-01,#N/A
2002-12-01,101.8
2003-01-01,#N/A
2003-02-01,101.7
2003-03-01,#N/A
2003-04-01,102.7
2003-05-01,#N/A
2003-06-01,102.1
2003-07-01,#N/A
2003-08-01,102
2003-09-01,#N/A
2003-10-01,100.9
2003-11-01,#N/A
2003-12-01,99.5
2004-01-01,#N/A
2004-02-01,101
2004-03-01,#N/A
2004-04-01,92.1
2004-05-01,#N/A
2004-06-01,92.4
2004-07-01,#N/A
2004-08-01,92.4
2004-09-01,#N/A
2004-10-01,92.1
2004-11-01,#N/A
2004-12-01,91.9
2005-01-01,#N/A
2005-02-01,92.7
2005-03-01,#N/A
2005-04-01,91.8
2005-05-01,#N/A
2005-06-01,92.5
2005-07-01,#N/A
2005-08-01,91
2005-09-01,#N/A
2005-10-01,90.9
2005-11-01,#N/A
2005-12-01,91
2006-01-01,#N/A
2006-02-01,91.6
2006-03-01,#N/A
2006-04-01,92.9
2006-05-01,#N/A
2006-06-01,92.5
2006-07-01,#N/A
2006-08-01,91.5
2006-09-01,#N/A
2006-10-01,93.7
2006-11-01,#N/A
2006-12-01,93.5
2007-01-01,#N/A
2007-02-01,94.636
2007-03-01,#N/A
2007-04-01,94.371
2007-05-01,#N/A
2007-06-01,94.819
2007-07-01,#N/A
2007-08-01,94.816
2007-09-01,#N/A
2007-10-01,95.056
2007-11-01,#N/A
2007-12-01,95.114
2008-01-01,#N/A
2008-02-01,97.032
2008-03-01,#N/A
2008-04-01,96.694
2008-05-01,#N/A
2008-06-01,97.087
2008-07-01,#N/A
2008-08-01,98.584
2008-09-01,#N/A
2008-10-01,96.831
2008-11-01,#N/A
2008-12-01,98.667
2009-01-01,#N/A
2009-02-01,97.907
2009-03-01,#N/A
2009-04-01,98.481
2009-05-01,#N/A
2009-06-01,97.08
2009-07-01,#N/A
2009-08-01,97.819
2009-09-01,#N/A
2009-10-01,98.076
