GVKEY,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,iid,datadate,conm,prccm,ccmbegdt
001230,P,01,LU,28804,20035,01/31/1966,E,01,06/30/1997,ALASKA AIR GROUP INC,25.6250,07/01/1996
001230,P,01,LU,28804,20035,01/31/1966,E,01,07/31/1997,ALASKA AIR GROUP INC,29.5620,08/01/1996
001230,P,01,LU,28804,20035,01/31/1966,E,01,08/31/1997,ALASKA AIR GROUP INC,27.4370,09/01/1996
001230,P,01,LU,28804,20035,01/31/1966,E,01,09/30/1997,ALASKA AIR GROUP INC,32.8750,10/01/1996
001230,P,01,LU,28804,20035,01/31/1966,E,01,10/31/1997,ALASKA AIR GROUP INC,33.3750,11/01/1996
001230,P,01,LU,28804,20035,01/31/1966,E,01,11/30/1997,ALASKA AIR GROUP INC,37.3750,12/01/1996
001230,P,01,LU,28804,20035,01/31/1966,E,01,12/31/1997,ALASKA AIR GROUP INC,38.7500,01/01/1997
001230,P,01,LU,28804,20035,01/31/1966,E,01,01/31/1998,ALASKA AIR GROUP INC,48.5620,02/01/1997
001230,P,01,LU,28804,20035,01/31/1966,E,01,02/28/1998,ALASKA AIR GROUP INC,55.0620,03/01/1997
001230,P,01,LU,28804,20035,01/31/1966,E,01,03/31/1998,ALASKA AIR GROUP INC,54.1870,04/01/1997
001230,P,01,LU,28804,20035,01/31/1966,E,01,04/30/1998,ALASKA AIR GROUP INC,56.1875,05/01/1997
001230,P,01,LU,28804,20035,01/31/1966,E,01,05/31/1998,ALASKA AIR GROUP INC,46.3125,06/01/1997
001230,P,01,LU,28804,20035,01/31/1966,E,01,06/30/1998,ALASKA AIR GROUP INC,54.5625,07/01/1997
001230,P,01,LU,28804,20035,01/31/1966,E,01,07/31/1998,ALASKA AIR GROUP INC,42.1250,08/01/1997
001230,P,01,LU,28804,20035,01/31/1966,E,01,08/31/1998,ALASKA AIR GROUP INC,38.9375,09/01/1997
001230,P,01,LU,28804,20035,01/31/1966,E,01,09/30/1998,ALASKA AIR GROUP INC,34.0625,10/01/1997
001230,P,01,LU,28804,20035,01/31/1966,E,01,10/31/1998,ALASKA AIR GROUP INC,35.9375,11/01/1997
001230,P,01,LU,28804,20035,01/31/1966,E,01,11/30/1998,ALASKA AIR GROUP INC,37.4375,12/01/1997
001230,P,01,LU,28804,20035,01/31/1966,E,01,12/31/1998,ALASKA AIR GROUP INC,44.2500,01/01/1998
001230,P,01,LU,28804,20035,01/31/1966,E,01,01/31/1999,ALASKA AIR GROUP INC,50.3750,02/01/1998
001230,P,01,LU,28804,20035,01/31/1966,E,01,02/28/1999,ALASKA AIR GROUP INC,50.6875,03/01/1998
001230,P,01,LU,28804,20035,01/31/1966,E,01,03/31/1999,ALASKA AIR GROUP INC,47.5000,04/01/1998
001230,P,01,LU,28804,20035,01/31/1966,E,01,04/30/1999,ALASKA AIR GROUP INC,44.0625,05/01/1998
001230,P,01,LU,28804,20035,01/31/1966,E,01,05/31/1999,ALASKA AIR GROUP INC,41.5000,06/01/1998
001230,P,01,LU,28804,20035,01/31/1966,E,01,06/30/1999,ALASKA AIR GROUP INC,41.7500,07/01/1998
001230,P,01,LU,28804,20035,01/31/1966,E,01,07/31/1999,ALASKA AIR GROUP INC,44.3750,08/01/1998
001230,P,01,LU,28804,20035,01/31/1966,E,01,08/31/1999,ALASKA AIR GROUP INC,43.2500,09/01/1998
001230,P,01,LU,28804,20035,01/31/1966,E,01,09/30/1999,ALASKA AIR GROUP INC,40.6875,10/01/1998
001230,P,01,LU,28804,20035,01/31/1966,E,01,10/31/1999,ALASKA AIR GROUP INC,39.7500,11/01/1998
001230,P,01,LU,28804,20035,01/31/1966,E,01,11/30/1999,ALASKA AIR GROUP INC,38.0000,12/01/1998
001230,P,01,LU,28804,20035,01/31/1966,E,01,12/31/1999,ALASKA AIR GROUP INC,35.1250,01/01/1999
001230,P,01,LU,28804,20035,01/31/1966,E,01,01/31/2000,ALASKA AIR GROUP INC,31.8750,02/01/1999
001230,P,01,LU,28804,20035,01/31/1966,E,01,02/29/2000,ALASKA AIR GROUP INC,26.5000,03/01/1999
001230,P,01,LU,28804,20035,01/31/1966,E,01,03/31/2000,ALASKA AIR GROUP INC,30.0625,04/01/1999
001230,P,01,LU,28804,20035,01/31/1966,E,01,04/30/2000,ALASKA AIR GROUP INC,28.7500,05/01/1999
001230,P,01,LU,28804,20035,01/31/1966,E,01,05/31/2000,ALASKA AIR GROUP INC,31.1250,06/01/1999
001230,P,01,LU,28804,20035,01/31/1966,E,01,06/30/2000,ALASKA AIR GROUP INC,27.1250,07/01/1999
001230,P,01,LU,28804,20035,01/31/1966,E,01,07/31/2000,ALASKA AIR GROUP INC,27.4375,08/01/1999
001230,P,01,LU,28804,20035,01/31/1966,E,01,08/31/2000,ALASKA AIR GROUP INC,26.0000,09/01/1999
001230,P,01,LU,28804,20035,01/31/1966,E,01,09/30/2000,ALASKA AIR GROUP INC,24.0000,10/01/1999
001230,P,01,LU,28804,20035,01/31/1966,E,01,10/31/2000,ALASKA AIR GROUP INC,25.9375,11/01/1999
001230,P,01,LU,28804,20035,01/31/1966,E,01,11/30/2000,ALASKA AIR GROUP INC,27.9375,12/01/1999
001230,P,01,LU,28804,20035,01/31/1966,E,01,12/31/2000,ALASKA AIR GROUP INC,29.7500,01/01/2000
001230,P,01,LU,28804,20035,01/31/1966,E,01,01/31/2001,ALASKA AIR GROUP INC,32.3400,02/01/2000
001230,P,01,LU,28804,20035,01/31/1966,E,01,02/28/2001,ALASKA AIR GROUP INC,28.5800,03/01/2000
001230,P,01,LU,28804,20035,01/31/1966,E,01,03/31/2001,ALASKA AIR GROUP INC,25.7000,04/01/2000
001230,P,01,LU,28804,20035,01/31/1966,E,01,04/30/2001,ALASKA AIR GROUP INC,28.1500,05/01/2000
001230,P,01,LU,28804,20035,01/31/1966,E,01,05/31/2001,ALASKA AIR GROUP INC,28.7300,06/01/2000
001230,P,01,LU,28804,20035,01/31/1966,E,01,06/30/2001,ALASKA AIR GROUP INC,28.9000,07/01/2000
001230,P,01,LU,28804,20035,01/31/1966,E,01,07/31/2001,ALASKA AIR GROUP INC,31.6400,08/01/2000
001230,P,01,LU,28804,20035,01/31/1966,E,01,08/31/2001,ALASKA AIR GROUP INC,32.6400,09/01/2000
001230,P,01,LU,28804,20035,01/31/1966,E,01,09/30/2001,ALASKA AIR GROUP INC,19.9700,10/01/2000
001230,P,01,LU,28804,20035,01/31/1966,E,01,10/31/2001,ALASKA AIR GROUP INC,24.4000,11/01/2000
