FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SASL5,"Consumer Price Index for All Urban Consumers: Services Less Medical Care Services in Seattle-Tacoma-Bellevue WA (CBSA), Index 1982-1984=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SASL5
1966-11-01,27.2
1966-12-01,#N/A
1967-01-01,#N/A
1967-02-01,27.5
1967-03-01,#N/A
1967-04-01,#N/A
1967-05-01,27.7
1967-06-01,#N/A
1967-07-01,#N/A
1967-08-01,28.1
1967-09-01,#N/A
1967-10-01,#N/A
1967-11-01,28.3
1967-12-01,#N/A
1968-01-01,#N/A
1968-02-01,28.7
1968-03-01,#N/A
1968-04-01,#N/A
1968-05-01,29
1968-06-01,#N/A
1968-07-01,#N/A
1968-08-01,29.8
1968-09-01,#N/A
1968-10-01,#N/A
1968-11-01,30.3
1968-12-01,#N/A
1969-01-01,#N/A
1969-02-01,30.6
1969-03-01,#N/A
1969-04-01,#N/A
1969-05-01,31.2
1969-06-01,#N/A
1969-07-01,#N/A
1969-08-01,31.8
1969-09-01,#N/A
1969-10-01,#N/A
1969-11-01,32.1
1969-12-01,#N/A
1970-01-01,#N/A
1970-02-01,32.8
1970-03-01,#N/A
1970-04-01,#N/A
1970-05-01,33.3
1970-06-01,#N/A
1970-07-01,#N/A
1970-08-01,33.6
1970-09-01,#N/A
1970-10-01,#N/A
1970-11-01,33.7
1970-12-01,#N/A
1971-01-01,#N/A
1971-02-01,33.3
1971-03-01,#N/A
1971-04-01,#N/A
1971-05-01,33.3
1971-06-01,#N/A
1971-07-01,#N/A
1971-08-01,34
1971-09-01,#N/A
1971-10-01,#N/A
1971-11-01,34.1
1971-12-01,#N/A
1972-01-01,#N/A
1972-02-01,34.5
1972-03-01,#N/A
1972-04-01,#N/A
1972-05-01,34.3
1972-06-01,#N/A
1972-07-01,#N/A
1972-08-01,34.5
1972-09-01,#N/A
1972-10-01,#N/A
1972-11-01,34.9
1972-12-01,#N/A
1973-01-01,#N/A
1973-02-01,35.1
1973-03-01,#N/A
1973-04-01,#N/A
1973-05-01,36.2
1973-06-01,#N/A
1973-07-01,#N/A
1973-08-01,36.6
1973-09-01,#N/A
1973-10-01,#N/A
1973-11-01,38
1973-12-01,#N/A
1974-01-01,#N/A
1974-02-01,38.8
1974-03-01,#N/A
1974-04-01,#N/A
1974-05-01,39.2
1974-06-01,#N/A
1974-07-01,#N/A
1974-08-01,40.6
1974-09-01,#N/A
1974-10-01,#N/A
1974-11-01,42.4
1974-12-01,#N/A
1975-01-01,#N/A
1975-02-01,43.8
1975-03-01,#N/A
1975-04-01,#N/A
1975-05-01,44.3
1975-06-01,#N/A
1975-07-01,#N/A
1975-08-01,45.2
1975-09-01,#N/A
1975-10-01,#N/A
1975-11-01,46.2
1975-12-01,#N/A
1976-01-01,#N/A
1976-02-01,47.3
1976-03-01,#N/A
1976-04-01,#N/A
1976-05-01,46.6
1976-06-01,#N/A
1976-07-01,#N/A
1976-08-01,47.8
1976-09-01,#N/A
1976-10-01,#N/A
1976-11-01,48.4
1976-12-01,#N/A
1977-01-01,#N/A
1977-02-01,49.4
1977-03-01,#N/A
1977-04-01,#N/A
1977-05-01,51.2
1977-06-01,#N/A
1977-07-01,#N/A
1977-08-01,53.2
1977-09-01,#N/A
1977-10-01,#N/A
1977-11-01,54.3
1977-12-01,#N/A
1978-01-01,54.7
1978-02-01,#N/A
1978-03-01,55.5
1978-04-01,#N/A
1978-05-01,57.2
