DATE,LAUMT534266000000003A_20210416,LAUMT534266000000003A_20220427
1990-01-01,4.0,4.0
1991-01-01,4.8,4.8
1992-01-01,5.9,5.9
1993-01-01,6.0,6.0
1994-01-01,5.1,5.1
1995-01-01,5.0,5.0
1996-01-01,4.6,4.6
1997-01-01,3.9,3.9
1998-01-01,3.7,3.7
1999-01-01,3.7,3.7
2000-01-01,4.2,4.2
2001-01-01,5.0,5.0
2002-01-01,6.3,6.3
2003-01-01,6.4,6.4
2004-01-01,5.5,5.5
2005-01-01,4.8,4.8
2006-01-01,4.1,4.1
2007-01-01,3.6,3.6
2008-01-01,4.4,4.4
2009-01-01,7.7,7.7
2010-01-01,8.9,8.9
2011-01-01,8.2,8.2
2012-01-01,7.0,7.0
2013-01-01,5.3,5.3
2014-01-01,5.1,5.1
2015-01-01,4.6,4.6
2016-01-01,4.3,4.3
2017-01-01,4.0,4.0
2018-01-01,3.7,3.8
2019-01-01,3.1,3.3
2020-01-01,8.1,8.4
2021-01-01,.,4.8
